Handle;Title;Option1 Name;Option1 Value (Material);Option2 Name;Option2 Value (Farbe);Option3 Name;Option3 Value (Marke);SKU;Qty;Spalte1;Spalte2;Spalte3;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;braun;Marke;Geetech;GEE-TPU-BR;2;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;transparent;Marke;Geetech;GEE-TPU-TR;4;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;transparent blau;Marke;Geetech;GEE-TPU-TBL;1;;;;;;
tpu-175;TPU Filament 1.75mm;Material;TPU;Farbe;transparent orange;Marke;Geetech;GEE-TPU-TOR;0;;;;;;
;;;;;;;;;;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;weiß;Marke;Geetech;GEE-ABS-WE;5;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;schwarz;Marke;Geetech;GEE-ABS-SW;9;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;rot;Marke;Geetech;GEE-ABS-RO;4;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;gelb;Marke;Geetech;GEE-ABS-GE;1;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;grün;Marke;Geetech;GEE-ABS-GRÜ;5;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;orange;Marke;Geetech;GEE-ABS-OR;2;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;blau;Marke;Geetech;GEE-ABS-BL;1;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;hellblau;Marke;Geetech;GEE-ABS-HB;6;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;lila;Marke;Geetech;GEE-ABS-LI;1;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;pink;Marke;Geetech;GEE-ABS-PI;2;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;silber;Marke;Geetech;GEE-ABS-SI;0;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;braun;Marke;Geetech;GEE-ABS-BR;0;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;apfel grün;Marke;Geetech;GEE-ABS-AGRÜ;0;;;;;;
abs-175;ABS+ Filament 1.75mm;Material;ABS;Farbe;grau;Marke;Geetech;GEE-ABS-GR;0;;;;;;
;;;;;;;;;;;;;;;
pla-silk-175;PLA Silk Filament 1.75mm;Material;SILK PLA;Farbe;regenbogen farbe;Marke;Geetech;GEE-PLA-SI-RG;3;;;;;;
